description,industry,level,size,line_code,value,Unit,Footnotes
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Petroleum coal chemical  associated product,2,total,C390003,126,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Nonmetallic mineral product,2,total,C390003,57,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Metal product,2,total,C390003,288,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Transport and industrial machinery  equipment,2,total,C390003,306,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Other machinery  equipment,2,total,C390003,48,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Other manufacturing,2,total,C390003,111,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Electricity gas water  waste services,1,total,C390003,63,Number of businesses,1 and 2 and 3 and 5 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Construction,1,total,C390003,2421,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Wholesale trade,1,total,C390003,957,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Machinery  equipment wholesaling,2,total,C390003,261,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Other wholesale trade,2,total,C390003,693,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Retail trade,1,total,C390003,1284,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Accommodation  food services,1,total,C390003,2751,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Transport postal  warehousing,1,total,C390003,528,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Information media  telecommunications,1,total,C390003,129,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Publishing,2,total,C390003,51,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Motion picture,2,total,C390003,51,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Telecommunications,2,total,C390003,27,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Financial  insurance services,1,total,C390003,183,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Finance,2,total,C390003,66,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Insurance,2,total,C390003,6,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Auxiliary,2,total,C390003,111,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Rental hiring  real estate services,1,total,C390003,234,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Professional scientific  technical services,1,total,C390003,1527,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Computer systems design,2,total,C390003,219,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Other professional scientific,2,total,C390003,1311,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Administrative  support services,1,total,C390003,600,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Education  training,1,total,C390003,273,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Health care  social assistance,1,total,C390003,741,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Arts  recreation services,1,total,C390003,204,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,Other services,1,total,C390003,378,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a moderate amount,total,0,total,C390003,15033,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,total,0,619 employees,C390004,18150,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,total,0,2049 employees,C390004,4695,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,total,0,5099 employees,C390004,1314,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,total,0,100 employees,C390004,1044,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Agriculture forestry  fishing,1,total,C390004,1530,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Agriculture,2,total,C390004,948,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Commercial fishing,2,total,C390004,24,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Forestry  logging,2,total,C390004,129,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Agriculture forestry  fishing support services,2,total,C390004,429,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Mining,1,total,C390004,60,Number of businesses,1 and 2 and 3 and 5 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Manufacturing,1,total,C390004,3180,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Food beverage  tobacco,2,total,C390004,705,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Textile clothing footwear  leather,2,total,C390004,144,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Wood  paper product,2,total,C390004,306,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Printing publishing  recorded media,2,total,C390004,114,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Petroleum coal chemical  associated product,2,total,C390004,243,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Nonmetallic mineral product,2,total,C390004,129,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Metal product,2,total,C390004,600,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Transport and industrial machinery  equipment,2,total,C390004,549,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Other machinery  equipment,2,total,C390004,168,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Other manufacturing,2,total,C390004,225,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Electricity gas water  waste services,1,total,C390004,111,Number of businesses,1 and 2 and 3 and 5 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Construction,1,total,C390004,3372,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Wholesale trade,1,total,C390004,1737,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Machinery  equipment wholesaling,2,total,C390004,546,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Other wholesale trade,2,total,C390004,1188,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Retail trade,1,total,C390004,3036,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Accommodation  food services,1,total,C390004,2421,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Transport postal  warehousing,1,total,C390004,789,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Information media  telecommunications,1,total,C390004,273,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Publishing,2,total,C390004,114,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Motion picture,2,total,C390004,78,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Telecommunications,2,total,C390004,81,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Financial  insurance services,1,total,C390004,426,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Finance,2,total,C390004,111,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Insurance,2,total,C390004,27,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Auxiliary,2,total,C390004,291,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Rental hiring  real estate services,1,total,C390004,567,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Professional scientific  technical services,1,total,C390004,3174,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Computer systems design,2,total,C390004,693,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Other professional scientific,2,total,C390004,2481,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Administrative  support services,1,total,C390004,909,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Education  training,1,total,C390004,732,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Health care  social assistance,1,total,C390004,1845,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Arts  recreation services,1,total,C390004,273,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,Other services,1,total,C390004,765,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes a great deal,total,0,total,C390004,25206,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,total,0,619 employees,C390005,1731,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,total,0,2049 employees,C390005,282,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,total,0,5099 employees,C390005,69,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,total,0,100 employees,C390005,60,Number of businesses,1 and 2 and 3 and 4 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Agriculture forestry  fishing,1,total,C390005,213,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Agriculture,2,total,C390005,138,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Commercial fishing,2,total,C390005,0,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Forestry  logging,2,total,C390005,6,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Agriculture forestry  fishing support services,2,total,C390005,66,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Mining,1,total,C390005,6,Number of businesses,1 and 2 and 3 and 5 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Manufacturing,1,total,C390005,123,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Food beverage  tobacco,2,total,C390005,3,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Textile clothing footwear  leather,2,total,C390005,9,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Wood  paper product,2,total,C390005,27,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Printing publishing  recorded media,2,total,C390005,0,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Petroleum coal chemical  associated product,2,total,C390005,21,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Nonmetallic mineral product,2,total,C390005,3,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Metal product,2,total,C390005,42,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Transport and industrial machinery  equipment,2,total,C390005,3,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Other machinery  equipment,2,total,C390005,12,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Other manufacturing,2,total,C390005,6,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Electricity gas water  waste services,1,total,C390005,6,Number of businesses,1 and 2 and 3 and 5 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Construction,1,total,C390005,528,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Wholesale trade,1,total,C390005,69,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Machinery  equipment wholesaling,2,total,C390005,18,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Other wholesale trade,2,total,C390005,51,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Retail trade,1,total,C390005,141,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Accommodation  food services,1,total,C390005,474,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Transport postal  warehousing,1,total,C390005,60,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Information media  telecommunications,1,total,C390005,18,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Publishing,2,total,C390005,6,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Motion picture,2,total,C390005,0,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Telecommunications,2,total,C390005,9,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Financial  insurance services,1,total,C390005,18,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Finance,2,total,C390005,9,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Insurance,2,total,C390005,0,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Auxiliary,2,total,C390005,9,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Rental hiring  real estate services,1,total,C390005,63,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Professional scientific  technical services,1,total,C390005,159,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Computer systems design,2,total,C390005,42,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Other professional scientific,2,total,C390005,120,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Administrative  support services,1,total,C390005,48,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Education  training,1,total,C390005,30,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Health care  social assistance,1,total,C390005,111,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Arts  recreation services,1,total,C390005,0,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,Other services,1,total,C390005,69,Number of businesses,1 and 2 and 3 and 6
Nonmanagerial staff encouraged to suggest improvements to goods services or processes dont know,total,0,total,C390005,2139,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,total,0,619 employees,C400001,6426,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications yes,total,0,2049 employees,C400001,2577,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications yes,total,0,5099 employees,C400001,1080,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications yes,total,0,100 employees,C400001,1086,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications yes,Agriculture forestry  fishing,1,total,C400001,1182,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Agriculture,2,total,C400001,849,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Commercial fishing,2,total,C400001,12,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Forestry  logging,2,total,C400001,93,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Agriculture forestry  fishing support services,2,total,C400001,228,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Mining,1,total,C400001,39,Number of businesses,1 and 2 and 3 and 5 and 6
Quality management systems certifications yes,Manufacturing,1,total,C400001,1662,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Food beverage  tobacco,2,total,C400001,642,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Textile clothing footwear  leather,2,total,C400001,39,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Wood  paper product,2,total,C400001,135,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Printing publishing  recorded media,2,total,C400001,33,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Petroleum coal chemical  associated product,2,total,C400001,174,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Nonmetallic mineral product,2,total,C400001,51,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Metal product,2,total,C400001,210,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Transport and industrial machinery  equipment,2,total,C400001,222,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Other machinery  equipment,2,total,C400001,108,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Other manufacturing,2,total,C400001,48,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Electricity gas water  waste services,1,total,C400001,72,Number of businesses,1 and 2 and 3 and 5 and 6
Quality management systems certifications yes,Construction,1,total,C400001,1512,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Wholesale trade,1,total,C400001,969,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Machinery  equipment wholesaling,2,total,C400001,249,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Other wholesale trade,2,total,C400001,720,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Retail trade,1,total,C400001,975,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Accommodation  food services,1,total,C400001,1047,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Transport postal  warehousing,1,total,C400001,348,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Information media  telecommunications,1,total,C400001,75,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Publishing,2,total,C400001,27,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Motion picture,2,total,C400001,9,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Telecommunications,2,total,C400001,33,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Financial  insurance services,1,total,C400001,108,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Finance,2,total,C400001,45,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Insurance,2,total,C400001,6,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Auxiliary,2,total,C400001,57,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Rental hiring  real estate services,1,total,C400001,108,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Professional scientific  technical services,1,total,C400001,1011,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Computer systems design,2,total,C400001,186,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Other professional scientific,2,total,C400001,825,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Administrative  support services,1,total,C400001,378,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Education  training,1,total,C400001,231,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Health care  social assistance,1,total,C400001,1101,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Arts  recreation services,1,total,C400001,123,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,Other services,1,total,C400001,219,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications yes,total,0,total,C400001,11169,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,total,0,619 employees,C400002,29118,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications no,total,0,2049 employees,C400002,6213,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications no,total,0,5099 employees,C400002,1449,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications no,total,0,100 employees,C400002,1011,Number of businesses,1 and 2 and 3 and 4 and 6
Quality management systems certifications no,Agriculture forestry  fishing,1,total,C400002,2571,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Agriculture,2,total,C400002,1608,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Commercial fishing,2,total,C400002,45,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Forestry  logging,2,total,C400002,168,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Agriculture forestry  fishing support services,2,total,C400002,756,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Mining,1,total,C400002,84,Number of businesses,1 and 2 and 3 and 5 and 6
Quality management systems certifications no,Manufacturing,1,total,C400002,3753,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Food beverage  tobacco,2,total,C400002,591,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Textile clothing footwear  leather,2,total,C400002,210,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Wood  paper product,2,total,C400002,381,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Printing publishing  recorded media,2,total,C400002,165,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Petroleum coal chemical  associated product,2,total,C400002,276,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Nonmetallic mineral product,2,total,C400002,159,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Metal product,2,total,C400002,792,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Transport and industrial machinery  equipment,2,total,C400002,723,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Other machinery  equipment,2,total,C400002,129,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Other manufacturing,2,total,C400002,324,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Electricity gas water  waste services,1,total,C400002,135,Number of businesses,1 and 2 and 3 and 5 and 6
Quality management systems certifications no,Construction,1,total,C400002,5925,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Wholesale trade,1,total,C400002,2256,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Machinery  equipment wholesaling,2,total,C400002,702,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Other wholesale trade,2,total,C400002,1551,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Retail trade,1,total,C400002,4095,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Accommodation  food services,1,total,C400002,5727,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Transport postal  warehousing,1,total,C400002,1329,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Information media  telecommunications,1,total,C400002,387,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Publishing,2,total,C400002,159,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Motion picture,2,total,C400002,135,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Telecommunications,2,total,C400002,90,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Financial  insurance services,1,total,C400002,588,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Finance,2,total,C400002,168,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Insurance,2,total,C400002,30,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Auxiliary,2,total,C400002,393,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Rental hiring  real estate services,1,total,C400002,936,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Professional scientific  technical services,1,total,C400002,4179,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Computer systems design,2,total,C400002,801,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Other professional scientific,2,total,C400002,3381,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Administrative  support services,1,total,C400002,1464,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Education  training,1,total,C400002,951,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Health care  social assistance,1,total,C400002,1800,Number of businesses,1 and 2 and 3 and 6
Quality management systems certifications no,Arts  recreation services,1,total,C400002,444,Number of businesses,1 and 2 and 3 and 6
